group;name;otype;dclass;dim
/daily/links/mcAll;data;H5I_DATASET;FLOAT;364 x 28 x 45 x 1
/daily/links/mcAll;structure;H5I_GROUP;;
/daily/links/mcAll/structure;link;H5I_DATASET;STRING;45
/daily/links/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/daily/links/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/daily/links/mcAll/structure;variable;H5I_DATASET;STRING;28
/daily/links;mcInd;H5I_GROUP;;
/daily/links/mcInd;data;H5I_DATASET;FLOAT;364 x 10 x 45 x 29
/daily/links/mcInd;structure;H5I_GROUP;;
/daily/links/mcInd/structure;link;H5I_DATASET;STRING;45
/daily/links/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/daily/links/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/daily/links/mcInd/structure;variable;H5I_DATASET;STRING;10
/daily;time;H5I_DATASET;COMPOUND;364
/;hourly;H5I_GROUP;;
/hourly;areas;H5I_GROUP;;
/hourly/areas;mcAll;H5I_GROUP;;
